date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:20	242829/242829	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202019%2007:37:34%20GMT	https://www.beardo.in/	/home/dhawal/websites/my%20new%20project/www.beardo.in/index.html	(from )
10:45:21	188/188	---M-Z	200	added ('OK')	text/plain	etag:%221d8-586a615b0d833-gzip%22	https://www.beardo.in/robots.txt		(from )
10:45:21	2677/2677	---M-Z	200	added ('OK')	image/png	etag:W/%220-gzip%22	https://www.beardo.in/images/xshortcut-icon.png.pagespeed.ic.G6Zj1hDg3y.png	/home/dhawal/websites/my%20new%20project/www.beardo.in/images/xshortcut-icon.png.pagespeed.ic.G6Zj1hDg3y.png	(from https://www.beardo.in/)
10:45:22	492/492	---M--	200	added ('OK')	application/json	etag:%221ec-586a619cae195%22	https://www.beardo.in/manifest.json	/home/dhawal/websites/my%20new%20project/www.beardo.in/manifest.json	(from https://www.beardo.in/)
10:45:26	2236/2236	---M-Z	200	added ('OK')	image/png	etag:W/%220-gzip%22	https://www.beardo.in/appicons/xicons-76.png.pagespeed.ic.zixUyRyOFN.png	/home/dhawal/websites/my%20new%20project/www.beardo.in/appicons/xicons-76.png.pagespeed.ic.zixUyRyOFN.png	(from https://www.beardo.in/)
10:45:28	35355/35355	---M-Z	200	added ('OK')	image/png	etag:%228a1b-586a615851534-gzip%22	https://www.beardo.in/appicons/icons-512.png	/home/dhawal/websites/my%20new%20project/www.beardo.in/appicons/icons-512.png	(from https://www.beardo.in/)
10:45:29	4202/4202	---M-Z	200	added ('OK')	image/png	etag:W/%220-gzip%22	https://www.beardo.in/appicons/xicons-120.png.pagespeed.ic.13YfGASE9J.png	/home/dhawal/websites/my%20new%20project/www.beardo.in/appicons/xicons-120.png.pagespeed.ic.13YfGASE9J.png	(from https://www.beardo.in/)
10:45:31	6140/6140	---M-Z	200	added ('OK')	image/png	etag:W/%220-gzip%22	https://www.beardo.in/appicons/xicons-152.png.pagespeed.ic.vCjsQF5hbL.png	/home/dhawal/websites/my%20new%20project/www.beardo.in/appicons/xicons-152.png.pagespeed.ic.vCjsQF5hbL.png	(from https://www.beardo.in/)
10:45:37	8052/8052	---M-Z	200	added ('OK')	image/png	etag:W/%220-gzip%22	https://www.beardo.in/appicons/xicons-180.png.pagespeed.ic.wu364aaniH.png	/home/dhawal/websites/my%20new%20project/www.beardo.in/appicons/xicons-180.png.pagespeed.ic.wu364aaniH.png	(from https://www.beardo.in/)
10:45:38	7161/7161	---M-Z	200	added ('OK')	image/png	etag:W/%220-gzip%22	https://www.beardo.in/appicons/xicons-167.png.pagespeed.ic.f6CDEqeyK3.png	/home/dhawal/websites/my%20new%20project/www.beardo.in/appicons/xicons-167.png.pagespeed.ic.f6CDEqeyK3.png	(from https://www.beardo.in/)
